

[2021-02-17 08:35:28] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-17 20:20:03] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 20:20:14] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 20:35:23] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-17 21:43:02] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 22:26:46] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 23:15:10] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-18 00:38:46] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-18 00:46:33] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-18 01:00:06] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-18 05:00:06] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-18 05:00:06] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-18 07:16:03] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-18 07:22:26] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-18 18:43:11] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-18 18:59:25] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-18 21:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-19 00:36:55] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-19 01:00:06] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-19 01:51:48] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-19 04:34:05] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-19 05:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-19 05:36:26] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-19 23:32:26] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-20 02:57:01] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-20 05:00:08] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-20 05:00:08] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-20 05:00:08] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-20 05:00:08] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-20 05:19:44] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-20 05:24:46] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-20 06:22:34] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-20 06:47:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-21 01:58:00] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-21 05:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-21 05:28:04] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-21 12:52:51] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-21 21:00:08] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
